Location,Startup, Lat, Ln
Tinizong,1954.0,46.5831572,9.616736
"Mols, Tal",1954.0,,
Seedorf,1955.0,46.88092,8.61352
Seedorf,2012.0,46.88092,8.61352
Piano di Peccia,1955.0,46.415,8.60759
Piano di Peccia,1991.0,46.415,8.60759
Les Clées,1955.0,,
Birsfelden,1955.0,47.5516505,7.627249900000002
Cavergno,1955.0,46.3450894,8.6057293
Vallorbe,1955.0,46.71199650000001,6.3791101999999995
Bisisthal,1956.0,46.942972,8.830808
"St-Léonard, Mangol",1956.0,,
"Riddes, Ecône",1956.0,,
"Noiraigue, Le Furcil",1956.0,,
Rheinau,1956.0,47.6433,8.60117
Fionnay,1957.0,46.03286,7.307699999999999
Fionnay,1958.0,46.03286,7.307699999999999
"Les Diablerets, Le Plan",1957.0,,
"Alpnach, Eichibrücke",1957.0,,
Bäch,1957.0,,
Piani di Verdabbio,1957.0,46.283607200000006,9.1732325
Beckenried,1957.0,46.9704961,8.4657007
Safien Platz,1957.0,46.681644399999996,9.314830400000002
Gabi,1957.0,46.18405,8.07071
Chamarin / Ayent,1957.0,46.2765711,7.405814599999999
Croix / Ayent,1957.0,46.3107748,7.4252553999999975
"Vals, Staumauer Zervreila",1958.0,,
"Ayer, Mottec",1958.0,,
"Ayer, Vissoie",1958.0,,
Sta.Maria,1958.0,46.6020161,10.424907600000001
"Lostallo, Rura",1958.0,,
Liddes,1958.0,45.9919529,7.185819599999999
Casaccia,1959.0,46.390997,9.666473
Casaccia,1960.0,46.390997,9.666473
Casaccia,1961.0,46.390997,9.666473
Casaccia,1967.0,46.390997,9.666473
"Münster, Moos ",1959.0,,
"Grabs, Bannwald",1959.0,,
Isenthal,1959.0,46.91059250000001,8.561981300000001
Biasca,1959.0,46.3580008,8.9704651
Castasegna,1959.0,46.3333,9.514099900000001
Muotathal,1960.0,46.974017100000005,8.762247300000002
"Kerns, Stöckalp",1960.0,,
"Saas-Fee, Wichulti",1960.0,,
Riddes,1960.0,46.173143700000004,7.2225148999999975
Riddes,1999.0,46.173143700000004,7.2225148999999975
Riddes,2016.0,46.173143700000004,7.2225148999999975
